2026-06-16 00:04:53.899 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 00:09:54.006 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 00:14:54.114 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 03:22:35.160 [] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@77e40686 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2026-06-16 03:22:35.179 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=3h7m16s740ms259µs100ns).
2026-06-16 08:46:54.718 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=5h24m25s259ms819µs400ns).
2026-06-16 08:48:56.274 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1m31s378ms432µs700ns).
2026-06-16 08:51:31.001 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 08:56:31.005 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:01:31.014 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:06:31.017 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:11:31.020 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:16:31.040 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:21:31.079 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:26:31.396 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:31:31.442 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:36:31.615 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:41:31.645 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:46:31.655 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:51:31.668 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 09:56:31.678 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:01:31.685 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:06:31.686 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:11:31.707 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:16:31.747 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:21:31.844 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:26:31.852 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 10:30:59.925 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1m30s766ms665µs800ns).
2026-06-16 12:26:22.949 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1h55m23s27ms888µs).
2026-06-16 12:27:59.263 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 12:35:59.103 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=3m35s906ms753µs800ns).
2026-06-16 12:36:05.248 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 12:38:52.566 [] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-2 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@225c1d93 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2026-06-16 12:38:52.852 [] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-2 - Thread starvation or clock leap detected (housekeeper delta=1m23s484ms240µs400ns).
2026-06-16 12:48:08.569 [] INFO  com.upeu.orden.OrdenApplication - Starting OrdenApplication using Java 17.0.12 with PID 15180 (D:\MS1\ProyectoGrupal\services\orden-ms\target\classes started by ASUS in D:\MS1\ProyectoGrupal\services\orden-ms)
2026-06-16 12:48:08.583 [] DEBUG com.upeu.orden.OrdenApplication - Running with Spring Boot v3.5.13, Spring v6.2.17
2026-06-16 12:48:08.585 [] INFO  com.upeu.orden.OrdenApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-16 12:48:08.680 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:7071
2026-06-16 12:48:08.680 [] INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=orden-ms, profiles=[dev], label=null, version=null, state=null
2026-06-16 12:48:08.685 [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-16 12:48:08.685 [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-16 12:48:12.737 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-06-16 12:48:13.305 [] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 545 ms. Found 1 JPA repository interface.
2026-06-16 12:48:14.428 [] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=d389b0b5-adb1-3fdf-bc72-6e354eb3ba64
2026-06-16 12:48:16.374 [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 19051 (http)
2026-06-16 12:48:16.413 [] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-19051"]
2026-06-16 12:48:16.419 [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-16 12:48:16.420 [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.53]
2026-06-16 12:48:16.656 [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-16 12:48:16.656 [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7971 ms
2026-06-16 12:48:17.300 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-06-16 12:48:17.636 [] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@1b7beac6
2026-06-16 12:48:17.636 [] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-06-16 12:48:17.757 [] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:mysql://localhost:3397/db_orden?useSSL=false&serverTimezone=America/Lima&allowPublicKeyRetrieval=true (MySQL 8.4)
2026-06-16 12:48:17.869 [] WARN  o.f.c.i.database.base.Database - Flyway upgrade recommended: MySQL 8.4 is newer than this version of Flyway and support has not been tested. The latest supported version of MySQL is 8.1.
2026-06-16 12:48:18.182 [] INFO  o.f.core.internal.command.DbValidate - Successfully validated 1 migration (execution time 00:00.281s)
2026-06-16 12:48:18.297 [] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `db_orden`: 1
2026-06-16 12:48:18.306 [] INFO  o.f.core.internal.command.DbMigrate - Schema `db_orden` is up to date. No migration necessary.
2026-06-16 12:48:18.970 [] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-06-16 12:48:21.223 [] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-06-16 12:48:22.884 [] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-06-16 12:48:23.661 [] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 3 endpoints beneath base path '/actuator'
2026-06-16 12:48:25.236 [] WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2026-06-16 12:48:25.794 [] INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2026-06-16 12:48:25.920 [] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-16 12:48:26.147 [] INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-16 12:48:26.241 [] INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-16 12:48:26.254 [] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-16 12:48:26.298 [] INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-16 12:48:26.299 [] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
